DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Patharghata,100316,HARITANA  ADARSA SECONDARY SCHOOL,HARITANA,HARITANA,1735702372,PRIVATE,Yes
Barguna,Patharghata,100318,SONARBANGLA HIGH SCHOOL,SHATAKAR BETMOR,SHATKAR BETMOR,1718845718,PRIVATE,Yes
Barguna,Patharghata,100319,BAIN CHATKI SECONDARY SCHOOL,BAINCHATKI,KAKCHIRA,1309100319,PRIVATE,Yes
Barguna,Patharghata,100320,RUHITA  HIGH SCHOOL,RUHITA,KARAMJATALA,1725492454,PRIVATE,Yes
Barguna,Patharghata,100321,TALUKCHARDUANI SECONDARY GIRLS SCHOOL,TALUKCHARDUANI,BUZRUGPUR,1736391069,PRIVATE,Yes
Barguna,Patharghata,100322,GNANPARA KHALIFAR HAT HIGH SCHOOL,GNANPARA,GNANPARA,1309100322,PRIVATE,Yes
Barguna,Patharghata,100323,H.K.B JUNIOR GIRLS HIGH SCHOOL,HARITANA,HARITANA,1724489873,PRIVATE,Yes
Barguna,Patharghata,100324,BARI AZAD SECONDARY SCHOOL,BADURTALA,HARITANA,1720353811,PRIVATE,Yes
Barguna,Patharghata,100325,D.SAYEDA FIROJA BEGUM SECONDARY GIRLS SCHOOL,LEMUA,LEMUA,1712444509,PRIVATE,Yes
Barguna,Patharghata,131225,N.I.KHAN RESIDANTIAL PUBLIC SCHOOL,HOGLAPASHA, MUNSHIR HAT,1734617735,PRIVATE,No
Barguna,Patharghata,131305,KALMEGHA  GIRLS JUNIOR SECONDARY SCHOOL,CHONBUNIA,KALMEGHA,1710281120,PRIVATE,No
Barguna,Patharghata,136868,JALIAGHATA SESDP MODEL HIGH SCHOOL,FAKIRHAT,RUPDHAN,1721370797,PRIVATE,Yes
Barguna,Patharghata,137391,54NO. TALUKER CHARDUANI GOVT. PRIMARY SCHOOL,TALUKER CHARDUANI,CHARDUANI,1712443861,GOVERNMENT PRIMARY,No
