DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Dhaka,Adabor,132219,MISSION POLLY SCHOOL AND TECHNICAL COLLEGE,"C/2, ALIF HOUSING, NORTH ADADOR,",MOHAMMAD PUR,1922001134,PRIVATE,Yes
Dhaka,Adabor,134550,PISCICULTURE  HOUSING PUBLIC SCHOOL,SHEKERTEK,MOHAMMADPUR,1718330221,PRIVATE,No
Dhaka,Adabor,135320,DHAKA UDYAN PUBLIC SCHOOL,"PLOT-40,ROAD-1,BLOCK-B,DHAKA UDYAN,MOHAMMADPUR,DHA",MOHAMMADPUR,1309135320,PRIVATE,No
Dhaka,Adabor,138933,TURAG NATIONAL SCHOOL,43/01,MOHAMMADPUR,1911642494,PRIVATE,No
Dhaka,Badda,107821,ROWSHAN ARA GIRLS HIGH SCHOOL,253,BARA BERAID,1309107821,PRIVATE,Yes
Dhaka,Badda,107822,BADDA HIGH SCHOOL,1 No Plot/Road 01,GULSHAN,1309107822,PRIVATE,Yes
Dhaka,Badda,107825,BADDA GIRLS HIGH SCHOOL,BADDA,GULSHAN,1715192322,PRIVATE,Yes
Dhaka,Badda,107826,BERAID MUSLIM HIGH SCHOOL,BARA BERAID,BARA BERAID,1822758124,PRIVATE,Yes
Dhaka,Badda,108015,ABDUL KHALEQUE MEMORIAL HIGH SCHOOL,SOLMAID,GULSHAN,1725408572,PRIVATE,Yes
Dhaka,Badda,108017,KHIL BARIRTEK ISLAMIA HIGH SCHOOL,KHIL BARIRTEK,GULSHAN,1717235712,PRIVATE,Yes
Dhaka,Badda,108022,ANANDA NAGAR ADARSHA VIDYALAY,ANANDANAGAR,GULSHAN,1854478402,PRIVATE,Yes
Dhaka,Badda,108266,TRINTY HIGH SCHOOL,PUNCHKHULA,SATARKUL,1950944100,PRIVATE,No
Dhaka,Badda,130880,MATRICHHAYA RESIDENTIAL CADET SCHOOL,"H #27,R #1,SEC#1 BLOCK #E, AFTAB NAGOR,BADDA,DHAKA",BADDA,1919350055,PRIVATE,No
Dhaka,Badda,130905,LITTLE JEWELS INTERNATIONAL SCHOOL,"HOUSE #33, ROAD #10, DIT PROJECT",GULSHAN,1711029913,PRIVATE,No
