DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Rangamati Sadar,107801,BARADAM SURBALA SMRITI BIDYAPITH,GOLACHARI,RANGAMATI,1815925039,PRIVATE,Yes
Rangamati,Rangamati Sadar,107802,MUZADDED-E-ALFESANI ACADEMY HIGH SCHOOL,317,RANGAMATI,1739090102,PRIVATE,Yes
Rangamati,Rangamati Sadar,107803,MASCHYAPARA HIGH SCHOOL,MASCHYAPARA,RANGAMATI,1828818601,PRIVATE,Yes
Rangamati,Rangamati Sadar,107804,BASANTA JUNIOR HIGH SCHOOL,BASANTA,RANGAMATI,1556623356,PRIVATE,Yes
Rangamati,Rangamati Sadar,107805,BANDHUK BHANGA HIGH SCHOOL,NOADAM,RANGAMATI,1827187054,PRIVATE,Yes
Rangamati,Rangamati Sadar,107806,VEDVEDEE POURA HIGH SCHOOL,VEDVEDEE PARA,RANGAMATI,1556567188,PRIVATE,Yes
Rangamati,Rangamati Sadar,107807,TAIMIDONG JUNIOR HIGH SCHOOL,R/33 TAIMIDONG,RANGMATI,1553321508,PRIVATE,Yes
Rangamati,Rangamati Sadar,107808,BADAL CHARI JUNIOR SCHOOL,BADAL CHARI,RANGMATI,1837835842,PRIVATE,Yes
Rangamati,Rangamati Sadar,107809,CHONGRA CHARI JUNIOR HIGH SCHOOL,CHONGRA CHARI,RANGAMATI,1831183882,PRIVATE,No
Rangamati,Rangamati Sadar,107810,TRIPURA CHARA JUNIOR HIGH SCHOOL,R 208,RANGAMATI,1828910734,PRIVATE,No
Rangamati,Rangamati Sadar,107811,KAINDYA DOUZAREE PARA JUNIOR HIGH SCHOOL,KAINDYA,RANGAMATI,1556776730,PRIVATE,No
Rangamati,Rangamati Sadar,107814,JIBTALI JUNIOR SCHOOL, 73 PANCHARI,RANGAMATI,1556540579,PRIVATE,No
Rangamati,Rangamati Sadar,137574,SUKARCHAR GOVT. PRIMARY SCHOOL,SHUKARCHARI,RANGAMATI,1866980379,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar,137885,HAMANTA GOVT. PRIMARY SCHOOL,SHIL CHARI,RANGAMATI,1866980140,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar,138987,ST TERESA S SCHOOL,TABALCHARRY,RANGAMATI SADAR,1779909178,PRIVATE,No
Rangamati,Rangamati Sadar,138994,HAZAR MANIK JUNIOR HIGH SCHOOL,HAJA CHARI,RANGAMATI SADAR,1557484453,PRIVATE,No
Rangamati,Rangamati Sadar,139007,MAWRUM IDEAL JUNIOR HIGH SCHOOL,"HEADMAN PARA, KUTUKCHARI, RANGAMATI TO KHAGRACHARI ROAD",RANGAMATI,1824649553,PRIVATE,No
