DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Kishorganj,125012,GARAGRAM ADARSO  HIGH SCHOOL,GARAGRAM,KHAMAR GARAGRAM,1724550244,PRIVATE,Yes
Nilphamari,Kishorganj,125013,DAKHIN BHARBHARI JUNIOR GIRL'S SCHOOL,BHARBHARI,BHERBHERI,1725343645,PRIVATE,Yes
Nilphamari,Kishorganj,125014,MAGURA JR.GIRLS SCHOOL,MAGURA,MAGURA,1713937150,PRIVATE,No
Nilphamari,Kishorganj,125015,SITE RAJIB MODEL HIGH SCHOOL,SIT RAJIB,KISHOREGANJ,1721726316,PRIVATE,Yes
Nilphamari,Kishorganj,125016,KISAMAT BIRCHARAN BODI(K.B) JR. GIRL'S SCHOOL,KISAMAT BIRCHARAN,GONESH,1713735006,PRIVATE,No
Nilphamari,Kishorganj,125017,DHAIJAN JUNIOR GIRLS SCHOOL,BHERBHERI,KALIKAPUR,1743581458,PRIVATE,No
Nilphamari,Kishorganj,125020,ADV. ANISUL AREFEEN CHOWDHURY HIGH SCHOOL,MAGURA DOLAPARA,MAGURA,1911639251,PRIVATE,Yes
Nilphamari,Kishorganj,125021,MAGURA DOLAPARA ADARSHA JUNIOR SCHOOL,MAGURA DOLAPARA,MAGURA,1713937502,PRIVATE,No
Nilphamari,Kishorganj,125023,DALIRAM JUNIOR GIRLS SCHOOL,PASCHIM DALIRAM,KHAMAR GARAGRAM,1706853080,PRIVATE,No
Nilphamari,Kishorganj,131416,KELLABARI  BIDDA NIKETON,BAGULAGARI,KALLABARI,1722806788,PRIVATE,Yes
Nilphamari,Kishorganj,134930,MONTHONA JUNIOR SCHOOL,MONTHONA,KALIKAPUR,1751431404,PRIVATE,Yes
Nilphamari,Kishorganj,137349,MAGURA SHAHPARA GOVT. PRIMARY SCHOOL,MAGURA,MAGURA,1713649965,GOVERNMENT PRIMARY,No
Nilphamari,Kishorganj,138624,UTTAR KALIKAPUR JUNIOR SCHOOL,UTTAR KALILAPUR,KALIKAPUR,1738652336,PRIVATE,No
Nilphamari,Nilphamari Sadar,125058,BARUNIRDANGA ADARSHA HIGH SCHOOL,DIGHALDANGI,SANGAALSHI,1712215142,PRIVATE,Yes
Nilphamari,Nilphamari Sadar,125059,RABEYA BALIKA BIDYA NIKETON,NILFHAMARI TOWN,NILPHAARI,1717974496,PRIVATE,Yes
Nilphamari,Nilphamari Sadar,125061,NILPHAMARI GOVT. HIGH SCHOOL,  ASIRUDDIN ROAD,NILPHAMARI,1733390705,PUBLIC,No
